227895230146.565369 1039824000.000000 -110.413274 24070.000000
227885690388.981781 2079626236.223687 -220.827722 24069.496209
227871380774.775635 3119384943.961849 -331.241070 24068.488605
227852301449.725800 4159078358.006077 -441.651043 24066.977177
227828452657.873505 5198684713.082582 -552.055367 24064.961923
227799834741.530304 6238182244.286139 -662.451767 24062.442852
227766448141.284302 7277549187.514141 -772.837969 24059.419982
227728293396.004608 8316763779.900747 -883.211696 24055.893342
227685371142.843811 9355804260.251143 -993.570675 24051.862971
227637682117.238708 10394648869.475880 -1103.912630 24047.328917
227585227152.909271 11433275851.025303 -1214.235285 24042.291240
227528007181.855621 12471663451.324055 -1324.536367 24036.750007
227466023234.353241 13509789920.205650 -1434.813600 24030.705298
227399276438.946472 14547633511.347109 -1545.064708 24024.157202
227327768022.439972 15585172482.703651 -1655.287419 24017.105818
227251499309.888428 16622385096.943438 -1765.479457 24009.551256
227170471724.584473 17659249621.882347 -1875.638549 24001.493633
227084686788.044739 18695744330.918800 -1985.762420 23992.933080
226994146119.993988 19731847503.468609 -2095.848797 23983.869735
226898851438.347504 20767537425.399826 -2205.895408 23974.303748
226798804559.191589 21802792389.467644 -2315.899980 23964.235279
226694007396.762299 22837590695.749271 -2425.860241 23953.664497
226584461963.422211 23871910652.078823 -2535.773920 23942.591582
226470170369.635376 24905730574.482204 -2645.638745 23931.016722
226351134823.940491 25939028787.611965 -2755.452447 23918.940119
226227357632.922241 26971783625.182159 -2865.212755 23906.361981
226098841201.180634 28003973430.403149 -2974.917401 23893.282528
225965588031.298706 29035576556.416389 -3084.564118 23879.701991
225827600723.808136 30066571366.729164 -3194.150636 23865.620609
225684881977.153259 31096936235.649281 -3303.674691 23851.038632
225537434587.653046 32126649548.719692 -3413.134016 23835.956321
225385261449.461334 33155689703.153069 -3522.526347 23820.373945
225228365554.525146 34184035108.266296 -3631.849420 23804.291785
225066749992.541138 35211664185.914886 -3741.100972 23787.710131
224900417950.910309 36238555370.927322 -3850.278741 23770.629283
224729372714.690765 37264687111.539284 -3959.380468 23753.049551
224553617666.548584 38290037869.827789 -4068.403892 23734.971257
224373156286.706970 39314586122.145241 -4177.346756 23716.394730
224187992152.893402 40338310359.553322 -4286.206801 23697.320310
223998128940.285034 41361189088.256821 -4394.981773 23677.748350
223803570421.452179 42383200830.037277 -4503.669417 23657.679208
223604320466.299988 43404324122.686516 -4612.267480 23637.113256
223400383042.008179 44424537520.440041 -4720.773710 23616.050874
223191762212.968994 45443819594.410278 -4829.185857 23594.492453
222978462140.723297 46462148933.019646 -4937.501672 23572.438394
222760487083.894714 47479504142.433464 -5045.718908 23549.889107
222537841398.122070 48495863846.992714 -5153.835319 23526.845013
222310529535.989807 49511206689.646599 -5261.848660 23503.306543
222078556046.956696 50525511332.384895 -5369.756691 23479.274137
221841925577.282501 51538756456.670151 -5477.557168 23454.748247
221600642869.953003 52550920763.869675 -5585.247855 23429.729333
221354712764.602936 53561982975.687286 -5692.826513 23404.217866
221104140197.437256 54571921834.594864 -5800.290907 23378.214327
220848930201.150452 55580716104.263695 -5907.638803 23351.719205
220589087904.843964 56588344569.995560 -6014.867970 23324.733003
220324618533.941864 57594786039.153587 -6121.976178 23297.256231
220055527410.104492 58600019341.592873 -6228.961200 23269.289408
219781819951.140381 59604023330.090828 -6335.820809 23240.833067
219503501670.916351 60606776880.777275 -6442.552783 23211.887747
219220578179.265503 61608258893.564285 -6549.154899 23182.454000
218933055181.893616 62608448292.575722 -6655.624939 23152.532385
218640938480.283569 63607324026.576515 -6761.960685 23122.123472
218344233971.597839 64604865069.401619 -6868.159923 23091.227843
218042947648.579254 65601050420.384697 -6974.220440 23059.846088
217737085599.449799 66595859104.786514 -7080.140026 23027.978806
217426654007.807617 67589270174.222954 -7185.916473 22995.626607
217111659152.522125 68581262707.092789 -7291.547576 22962.790113
216792107407.627197 69571815809.005066 -7397.031132 22929.469952
216468005242.212616 70560908613.206177 -7502.364940 22895.666764
216139359220.313599 71548520281.006592 -7607.546803 22861.381199
215806176000.798401 72534630002.207214 -7712.574526 22826.613917
215468462337.254150 73519216995.525436 -7817.445915 22791.365586
215126225077.870789 74502260509.020721 -7922.158782 22755.636886
214779471165.323151 75483739820.519943 -8026.710939 22719.428507
214428207636.651184 76463634238.042221 -8131.100201 22682.741146
214072441623.138245 77441923100.223450 -8235.324387 22645.575513
213712180350.187653 78418585776.740387 -8339.381318 22607.932327
213347431137.197296 79393601668.734375 -8443.268819 22569.812315
212978201397.432404 80366950209.234573 -8546.984717 22531.216215
212604498637.896515 81338610863.580856 -8650.526841 22492.144777
212226330459.200409 82308563129.846268 -8753.893025 22452.598756
211843704555.429443 83276786539.258972 -8857.081106 22412.578922
211456628714.008789 84243260656.623825 -8960.088922 22372.086050
211065110815.566956 85207965080.743469 -9062.914316 22331.120929
210669158833.797394 86170879444.839020 -9165.555134 22289.684354
210268780835.318268 87131983416.970169 -9268.009224 22247.777133
209863984979.530396 88091256700.454926 -9370.274440 22205.400081
209454779518.473267 89048679034.288849 -9472.348636 22162.554024
209041172796.679260 90004230193.563721 -9574.229671 22119.239798
208623173251.025970 90957889989.885834 -9675.915409 22075.458248
208200789410.586761 91909638271.793671 -9777.403714 22031.210229
207774029896.479309 92859454925.175110 -9878.692456 21986.496606
207342903421.712494 93807319873.684143 -9979.779508 21941.318253
206907418791.031281 94753213079.157013 -10080.662747 21895.676053
206467584900.759857 95697114542.027817 -10181.340053 21849.570900
206023410738.642792 96639004301.743591 -10281.809308 21803.003697
