57826101341.027054 2047680000.000000 -1710.617106 47400.000000
57678254159.320671 4092741408.956869 -3422.388465 47339.384467
57456497921.539360 6132558369.053354 -5133.246245 47217.985187
57160962129.910355 8164500546.718241 -6841.106288 47035.698557
56791866960.101868 10185935980.602333 -8543.869671 46792.486895
56349523827.794182 12194233986.599955 -10239.424359 46488.379768
55834335879.735138 14186768119.761713 -11925.646946 46123.475305
55246798404.885468 16160919192.679611 -13600.404510 45697.941503
54587499161.092094 18114078349.640251 -15261.556569 45212.017522
53857118612.574524 20043650195.535969 -16906.957142 44666.014951
53056430073.372704 21947055978.197533 -18534.456926 44060.319043
52186299751.786232 23821736822.465874 -20141.905592 43395.389914
51247686690.736382 25665157013.954895 -21727.154191 42671.763692
50241642598.906448 27474807330.073204 -23288.057681 41890.053614
49169311567.464142 29248208415.470905 -24822.477580 41050.951051
48031929667.144409 30982914198.659142 -26328.284730 40155.226463
46830824420.474525 32676515346.116516 -27803.362191 39203.730265
45567414143.957108 34326642749.749233 -29245.608253 38197.393603
44243207155.093521 35930971043.112648 -30652.939557 37137.229013
42859800839.231552 37487222141.332993 -32023.294349 36024.330977
41418880571.359306 38993168799.191551 -33354.635830 34859.876339
39922218488.144035 40446638181.352150 -34644.955630 33645.124587
38371672105.731087 41845515438.229141 -35892.277371 32381.417983
36769182779.076767 43187747280.510437 -37094.660339 31070.181534
35116773998.890060 44471345544.871559 -38250.203245 29712.922786
33416549522.603348 45694390742.945923 -39357.048062 28311.231437
31670691336.182419 46855035585.157318 -40413.383945 26866.778755
29881457444.021057 47951508470.576675 -41417.451207 25381.316792
28051179484.646149 48982116933.541260 -42367.545356 23856.677383
26182260170.484802 49945251037.373970 -43262.021161 22294.770922
24277170550.515106 50839386705.168945 -44099.296759 20697.584903
22338447095.235512 51663088977.270630 -44877.857761 19067.182225
20368688604.043186 52415015184.772270 -45596.261370 17405.699248
18370552935.806812 53093918028.100655 -46253.140468 15715.343596
16346753564.151707 53698648549.541229 -46847.207677 13998.391700
14300055959.741978 54228158988.396568 -47377.259361 12257.186085
12233273802.642010 54681505507.364922 -47842.179562 10494.132384
10149265028.663864 55057850778.679207 -48240.943842 8711.696095
8050927714.453814 55356466418.563385 -48572.623014 6912.399071
5941195806.934898 55576735258.646721 -48836.386748 5098.815743
3823034703.597847 55718153443.129539 -49031.507022 3273.569085
1699436691.013827 55780332340.719681 -49157.361402 1439.326333
-426583750.176987 55763000260.658798 -49213.436139 -401.205557
-2551994764.673791 55666003962.533493 -49199.329039 -2245.284679
-4673752056.334391 55489309950.018784 -49114.752122 -4090.139179
-6788803925.581733 55233005539.230865 -48959.534010 -5932.972472
-8894096398.765764 54897299692.971642 -48733.622064 -7770.968663
-10986578437.076464 54482523612.828262 -48437.084220 -9601.298151
-13063207211.875652 53989131081.844154 -48070.110528 -11421.123402
-15120953432.638079 53417698551.301292 -47633.014370 -13227.604874
-17156806713.073595 52768924966.042900 -47126.233343 -15017.907066
-19167780960.448814 52043631323.716660 -46550.329800 -16789.204683
-21150919772.645103 51242759964.325691 -45905.991023 -18538.688875
-23103301827.086052 50367373587.532211 -45194.029038 -20263.573537
-25022046245.347301 49418653996.259491 -44415.380052 -21961.101650
-26904317917.029583 48397900566.274857 -43571.103511 -23628.551620
-28747332766.336143 47306528442.601456 -42662.380771 -25263.243604
-30548362944.751865 46146066464.791161 -41690.513389 -26862.545783
-32304741933.275501 44918154824.286385 -40656.921031 -28423.880567
-34013869537.810455 43624542458.295258 -39563.138994 -29944.730694
-35673216761.573669 42267084185.793770 -38410.815365 -31422.645197
-37280330538.736267 40847737592.439735 -37201.707805 -32855.245217
-38832838313.961967 39368559672.328209 -35937.679982 -34240.229632
-40328452453.057976 37831703235.626198 -34620.697664 -35575.380479
-41764974470.593964 36239413092.187622 -33252.824480 -36858.568135
-43140299061.074142 34594022022.258217 -31836.217372 -38087.756248
-44452417921.059799 32897946546.326782 -30373.121759 -39261.006387
-45699423350.528671 31153682507.055706 -28865.866423 -40376.482391
-46879511622.716621 29363800477.023254 -27316.858152 -41432.454399
-47990986112.708397 27530941006.726559 -25728.576157 -42427.302553
-49032260176.119675 25657809727.921993 -24103.566283 -43359.520343
-50001859770.333321 23747172327.914429 -22444.435051 -44227.717593
-50898425811.909920 21801849410.844940 -20753.843555 -45030.623080
-51720716264.976486 19824711262.365707 -19034.501228 -45767.086770
-52467607956.598564 17818672534.329166 -17289.159528 -46436.081668
-53138098116.349876 15786686866.255783 -15520.605550 -47036.705279
-53731305638.500961 13731741460.381439 -13731.655605 -47568.180692
-54246472066.444420 11656851627.022785 -11925.148795 -48029.857254
-54682962300.150276 9565055316.839550 -10103.940595 -48421.210884
-55040265028.592476 7459407656.319956 -8270.896492 -48741.843994
-55317992890.197769 5342975502.473058 -6428.885685 -48991.485043
-55515882365.434204 3218832032.285154 -4580.774890 -49169.987736
-55633793406.671158 1090051381.991656 -2729.422251 -49277.329868
-55671708811.399666 -1040296649.362700 -877.671406 -49313.611837
-55629733345.795830 -3169151818.247128 971.654296 -49279.054835
-55508092626.436218 -5293468563.727260 2815.757393 -49173.998738
-55307131768.728867 -7410221030.938275 4651.871706 -48998.899704
-55027313811.303337 -9516407979.380140 6477.267533 -48754.327510
-54669217926.206444 -11609057565.303173 8289.256599 -48440.962637
-54233537425.275116 -13685231988.317900 10085.196781 -48059.593125
-53721077573.503731 -15742031993.250340 11862.496569 -47611.111225
-53132753220.590446 -17776601219.165108 13618.619280 -47096.509859
-52469586262.136276 -19786130388.386787 15351.087001 -46516.878917
