1426999878340.580811 418176000.000000 -2.816190 9680.000000
1426999635021.737549 836351964.348244 -5.632381 9679.999175
1426999270043.475586 1254527857.392971 -8.448571 9679.997524
1426998783405.811035 1672703643.482415 -11.264761 9679.995048
1426998175108.770508 2090879286.964813 -14.080950 9679.991747
1426997445152.391602 2509054752.188405 -16.897138 9679.987621
1426996593536.721924 2927230003.501437 -19.713326 9679.982669
1426995620261.820312 3345405005.252169 -22.529512 9679.976892
1426994525327.755615 3763579721.788869 -25.345696 9679.970290
1426993308734.607666 4181754117.459826 -28.161878 9679.962863
1426991970482.466797 4599928156.613349 -30.978059 9679.954610
1426990510571.433838 5018101803.597767 -33.794237 9679.945532
1426988929001.620361 5436275022.761438 -36.610412 9679.935629
1426987225773.148682 5854447778.452750 -39.426585 9679.924900
1426985400886.151123 6272620035.020123 -42.242755 9679.913346
1426983454340.771240 6690791756.812012 -45.058921 9679.900967
1426981386137.162842 7108962908.176914 -47.875084 9679.887763
1426979196275.490479 7527133453.463368 -50.691242 9679.873733
1426976884755.929199 7945303357.019958 -53.507397 9679.858879
1426974451578.664795 8363472583.195318 -56.323548 9679.843199
1426971896743.893555 8781641096.338135 -59.139694 9679.826693
1426969220251.822266 9199808860.797148 -61.955835 9679.809362
1426966422102.668457 9617975840.921160 -64.771971 9679.791207
1426963502296.660400 10036142001.059034 -67.588102 9679.772225
1426960460834.036621 10454307305.559698 -70.404227 9679.752419
1426957297715.046387 10872471718.772148 -73.220347 9679.731787
1426954012939.949707 11290635205.045452 -76.036461 9679.710330
1426950606509.016846 11708797728.728756 -78.852568 9679.688048
1426947078422.529053 12126959254.171280 -81.668669 9679.664941
1426943428680.778076 12545119745.722328 -84.484763 9679.641008
1426939657284.066162 12963279167.731289 -87.300850 9679.616250
1426935764232.706055 13381437484.547640 -90.116930 9679.590667
1426931749527.021240 13799594660.520947 -92.933002 9679.564259
1426927613167.345947 14217750660.000874 -95.749067 9679.537025
1426923355154.024902 14635905447.337179 -98.565123 9679.508966
1426918975487.413086 15054058986.879725 -101.381172 9679.480082
1426914474167.876709 15472211242.978476 -104.197211 9679.450373
1426909851195.791992 15890362179.983503 -107.013243 9679.419838
1426905106571.546143 16308511762.244993 -109.829265 9679.388478
1426900240295.536621 16726659954.113241 -112.645278 9679.356293
1426895252368.171875 17144806719.938663 -115.461282 9679.323283
1426890142789.870850 17562952024.071793 -118.277275 9679.289448
1426884911561.062744 17981095830.863289 -121.093259 9679.254787
1426879558682.187988 18399238104.663937 -123.909233 9679.219301
